iterations,fitness,time,fevals
0,27.0,0.000789873999999,433
10,28.0,0.001273539,767
20,31.0,0.001849956,1106
30,32.0,0.002254745,1444
40,37.0,0.002649217,1769
50,42.0,0.00301916,2101
60,42.0,0.003402401,2442
70,44.0,0.003816241,2780
80,44.0,0.00419703,3112
90,43.0,0.004614086,3455
100,44.0,0.004982807,3785
110,44.0,0.005353944,4114
120,44.0,0.005742728,4444
130,45.0,0.006203603,4778
140,45.0,0.00690025,5106
150,45.0,0.007317217,5438
160,46.0,0.007703422,5768
170,47.0,0.008424538,6108
180,47.0,0.009002712,6442
190,47.0,0.009442746,6773
200,47.0,0.009835305,7107
210,50.0,0.010246105,7439
220,50.0,0.01066996,7768
230,51.0,0.011249265,8103
240,50.0,0.011656731,8434
250,50.0,0.012051766,8762
260,50.0,0.012427664,9099
270,50.0,0.012821017,9422
280,50.0,0.013187743,9756
290,51.0,0.013577398,10085
300,51.0,0.013942197,10409
310,51.0,0.014317593,10740
320,51.0,0.014808849,11072
330,51.0,0.015270999,11402
340,51.0,0.015666059,11738
350,51.0,0.016039695,12063
360,51.0,0.016501629,12403
370,51.0,0.0169483,12736
380,52.0,0.017346088,13065
390,51.0,0.017737759,13408
400,54.0,0.018122393,13744
410,51.0,0.018507937,14071
420,52.0,0.018916957,14403
430,51.0,0.019947582,14742
440,54.0,0.020433132,15074
450,53.0,0.02099379,15414
460,51.0,0.021417355,15741
470,51.0,0.021815273,16075
480,51.0,0.022187063,16417
490,53.0,0.022619304,16749
500,51.0,0.022990529,17081
510,51.0,0.023392276,17418
520,51.0,0.023771751,17747
530,51.0,0.02415801,18080
540,51.0,0.024595145,18420
550,51.0,0.024972519,18755
560,51.0,0.025353369,19086
570,51.0,0.025797179,19423
580,52.0,0.026252744,19759
590,51.0,0.026619798,20092
600,51.0,0.026976909,20422
610,51.0,0.027328132,20755
620,51.0,0.02767487,21079
630,50.0,0.028024952,21418
640,50.0,0.028384406,21764
650,50.0,0.028760634,22094
660,50.0,0.02911248,22428
670,50.0,0.029473867,22768
680,50.0,0.029888161,23101
690,52.0,0.030261154,23436
700,52.0,0.030624692,23773
710,53.0,0.031076432,24112
720,53.0,0.031438841,24438
730,53.0,0.032064588,24782
740,53.0,0.032715858,25112
750,58.0,0.03316007,25441
760,59.0,0.033657762,25774
770,59.0,0.034105921,26111
780,60.0,0.034550831,26447
790,58.0,0.034974826,26786
800,59.0,0.03535272,27108
810,59.0,0.035714694,27441
820,59.0,0.036072367,27775
830,59.0,0.036431953,28104
840,58.0,0.036790216,28439
850,58.0,0.037137559,28763
860,58.0,0.037491598,29097
870,57.0,0.037848305,29429
880,57.0,0.038210829,29753
890,57.0,0.038571402,30082
900,56.0,0.039003788,30418
910,56.0,0.039369588,30751
920,56.0,0.039734369,31080
930,56.0,0.040104317,31410
940,57.0,0.040525015,31752
950,57.0,0.040892384,32082
960,56.0,0.041251642,32421
970,57.0,0.041595322,32752
980,57.0,0.041959931,33094
990,60.0,0.042374545,33439
1000,60.0,0.042836963,33771
1010,61.0,0.043228147,34103
1020,62.0,0.043632348,34436
1030,61.0,0.044737029,34771
1040,61.0,0.045139339,35103
1050,61.0,0.045571429,35441
1060,60.0,0.045972997,35773
1070,61.0,0.046353357,36098
1080,61.0,0.046700961,36438
1090,61.0,0.04703683,36768
1100,61.0,0.047428324,37108
1110,62.0,0.047787195,37432
1120,62.0,0.048153086,37763
1130,62.0,0.04852174,38107
1140,62.0,0.048937534,38437
1150,62.0,0.049324375,38772
1160,63.0,0.049706927,39102
1170,62.0,0.050087298,39436
1180,62.0,0.050436284,39765
1190,62.0,0.050827331,40092
1200,63.0,0.05126928,40436
1210,64.0,0.051996249,40776
1220,63.0,0.052386658,41108
1230,63.0,0.052792777,41434
1240,63.0,0.053199659,41769
1250,63.0,0.053602906,42099
1260,63.0,0.053993899,42442
1270,63.0,0.054357198,42768
1280,63.0,0.054713881,43098
1290,63.0,0.055078097,43429
1300,63.0,0.055448926,43742
1310,63.0,0.055915373,44076
1320,63.0,0.056830742,44412
1330,63.0,0.057340212,44741
1340,64.0,0.057791284,45079
1350,64.0,0.058215848,45419
1360,65.0,0.058567312,45757
1370,66.0,0.058930571,46100
1380,65.0,0.059316367,46439
1390,65.0,0.059717225,46782
1400,63.0,0.060170385,47116
1410,64.0,0.060525294,47455
1420,64.0,0.060876916,47798
1430,64.0,0.06122446,48127
1440,64.0,0.061577769,48460
1450,67.0,0.06192785,48794
1460,69.0,0.062279111,49129
1470,67.0,0.062683309,49465
1480,67.0,0.063041573,49800
1490,67.0,0.06339838,50128
1500,68.0,0.063751702,50460
1510,67.0,0.064107719,50797
1520,67.0,0.064459719,51136
1530,68.0,0.064806788,51458
1540,68.0,0.065152664,51785
1550,67.0,0.065502525,52118
1560,65.0,0.065877352,52438
1570,66.0,0.066270605,52776
1580,66.0,0.06662392,53106
1590,68.0,0.066973478,53444
1600,66.0,0.067333743,53781
1610,66.0,0.06768937,54113
1620,67.0,0.068043382,54441
1630,67.0,0.068679877,54779
1640,68.0,0.069125515,55100
1650,68.0,0.070082825,55435
1660,68.0,0.070562489,55773
1670,69.0,0.071175738,56098
1680,69.0,0.07160653,56433
1690,70.0,0.072004098,56764
1700,70.0,0.072365745,57101
1710,69.0,0.072723642,57422
1720,70.0,0.073075303,57752
1730,70.0,0.073419402,58080
1740,70.0,0.073791985,58422
1750,70.0,0.074156628,58750
1760,71.0,0.074527484,59094
1770,71.0,0.074901401,59438
1780,70.0,0.075235641,59772
1790,71.0,0.075581027,60102
1800,71.0,0.07592596,60442
1810,71.0,0.076267471,60779
1820,71.0,0.076624948,61112
1830,70.0,0.077063858,61452
1840,70.0,0.077591777,61790
1850,70.0,0.077958302,62133
1860,71.0,0.078341004,62476
1870,71.0,0.078697211,62818
1880,71.0,0.079157117,63155
1890,71.0,0.079510703,63495
1900,71.0,0.079867925,63824
1910,71.0,0.080273684,64153
1920,71.0,0.081289346,64481
1930,71.0,0.081712374,64822
1940,71.0,0.082179178,65158
1950,71.0,0.082586462,65497
