iterations,fitness,time,fevals
0,21.0,0.091388669,1000
10,23.0,0.177800807,2100
20,24.0,0.259314625,3200
30,37.0,0.337722846,4300
40,35.0,0.412024337,5400
50,40.0,0.482918254,6500
60,40.0,0.553503941,7600
70,41.0,0.624775409,8700
80,44.0,0.693139633,9800
90,41.0,0.762046505,10900
100,40.0,0.83143225,12000
110,42.0,0.899111515,13100
120,44.0,0.966079367,14200
130,46.0,1.036218628,15300
140,44.0,1.109532154,16400
150,57.0,1.176927596,17500
160,48.0,1.243507802,18600
170,46.0,1.310023742,19700
180,47.0,1.377776879,20800
190,47.0,1.445996098,21900
200,46.0,1.513072229,23000
210,47.0,1.578694473,24100
220,48.0,1.64595337,25200
230,46.0,1.710404444,26300
240,47.0,1.771647173,27400
250,52.0,1.838448772,28500
260,47.0,1.91050611,29600
270,47.0,1.98016061,30700
280,47.0,2.045977223,31800
290,47.0,2.112224363,32900
300,48.0,2.175321137,34000
310,48.0,2.238833316,35100
320,48.0,2.306119671,36200
330,47.0,2.373543154,37300
340,47.0,2.43806782,38400
350,47.0,2.504808892,39500
360,53.0,2.573207075,40600
370,48.0,2.64010977,41700
380,48.0,2.706385697,42800
390,51.0,2.77313622,43900
400,51.0,2.843775884,45000
410,50.0,2.91337583,46100
420,47.0,2.978187091,47200
430,48.0,3.044361389,48300
440,52.0,3.112917024,49400
450,52.0,3.17967534,50500
460,51.0,3.248560028,51600
470,58.0,3.317004217,52700
480,62.0,3.38365376,53800
490,54.0,3.453910529,54900
500,55.0,3.525908264,56000
510,53.0,3.595606877,57100
520,58.0,3.665373997,58200
530,61.0,3.73425389,59300
540,62.0,3.801114078,60400
550,49.0,3.870207722,61500
560,53.0,3.940462899,62600
570,59.0,4.008765637,63700
580,56.0,4.076556116,64800
590,54.0,4.146964058,65900
600,52.0,4.213967987,67000
610,56.0,4.28360321,68100
620,54.0,4.353683158,69200
630,56.0,4.421024786,70300
640,54.0,4.488059156,71400
650,54.0,4.555604465,72500
660,54.0,4.618822413,73600
670,54.0,4.685508262,74700
680,54.0,4.749465268,75800
690,55.0,4.811799805,76900
700,55.0,4.875247194,78000
710,55.0,4.944586586,79100
720,56.0,5.023500492,80200
730,55.0,5.098259163,81300
740,57.0,5.174792595,82400
750,54.0,5.252649605,83500
760,53.0,5.328134203,84600
770,55.0,5.405219448,85700
780,56.0,5.476105627,86800
790,55.0,5.540989478,87900
800,53.0,5.6069801,89000
810,55.0,5.67781303,90100
820,56.0,5.756432702,91200
830,57.0,5.829864185,92300
840,56.0,5.898969382,93400
850,54.0,5.961810166,94500
860,56.0,6.025723274,95600
870,56.0,6.091773896,96700
880,56.0,6.154702681,97800
890,54.0,6.216130006,98900
900,56.0,6.278461107,100000
910,56.0,6.3397697,101100
920,56.0,6.40266366,102200
930,55.0,6.473532558,103300
940,53.0,6.546849105,104400
950,55.0,6.617514615,105500
960,57.0,6.688482412,106600
970,56.0,6.758236589,107700
980,56.0,6.82898543,108800
990,54.0,6.899273395,109900
1000,55.0,6.966395892,111000
1010,56.0,7.030876742,112100
1020,56.0,7.093945115,113200
1030,56.0,7.158823622,114300
1040,56.0,7.222270417,115400
1050,55.0,7.286568515,116500
1060,57.0,7.350449487,117600
1070,53.0,7.420403279,118700
1080,55.0,7.500226016,119800
1090,57.0,7.568155871,120900
1100,59.0,7.63424395,122000
1110,56.0,7.699114808,123100
1120,57.0,7.768679235,124200
1130,56.0,7.838279309,125300
1140,55.0,7.903389123,126400
1150,56.0,7.965947735,127500
1160,56.0,8.032093733,128600
1170,56.0,8.096270463,129700
1180,58.0,8.159412984,130800
1190,56.0,8.22035847,131900
1200,56.0,8.285315218,133000
1210,57.0,8.35889003,134100
1220,55.0,8.423890096,135200
1230,58.0,8.491451737,136300
1240,57.0,8.561255378,137400
1250,54.0,8.624283293,138500
1260,57.0,8.686132324,139600
1270,55.0,8.760989014,140700
1280,54.0,8.838157567,141800
1290,56.0,8.908598448,142900
