iterations,fitness,time,fevals
0,14.0,5.1917e-05,11
10,15.0,7.4128e-05,21
20,15.0,9.45029999999e-05,31
30,16.0,0.000114771,41
40,16.0,0.000134661,51
50,17.0,0.00015567,61
60,17.0,0.000178747,71
70,17.0,0.000197756,81
80,17.0,0.000219855,91
90,17.0,0.000239791,101
100,17.0,0.000259688,111
110,17.0,0.000278027,121
120,17.0,0.00029736,131
130,17.0,0.000359683,141
140,17.0,0.000387546,151
150,17.0,0.000428222,161
160,17.0,0.000470116,171
170,17.0,0.000484825,181
180,17.0,0.000498996,191
190,18.0,0.000520282,201
200,18.0,0.00053462,211
210,18.0,0.000564386,221
220,18.0,0.000578797,231
230,18.0,0.000593111,241
240,18.0,0.000633503,251
250,18.0,0.000647501,261
260,18.0,0.000663188,271
270,18.0,0.000676468,281
280,18.0,0.000690605,291
290,18.0,0.000704037,301
300,18.0,0.00071744,311
310,18.0,0.000733205,321
320,18.0,0.000746508,331
330,20.0,0.000759272,341
340,20.0,0.000779943,351
350,20.0,0.000793655,361
360,20.0,0.000822329,371
370,20.0,0.000837201,381
380,20.0,0.000856604,391
390,20.0,0.000871216,401
400,20.0,0.000885465,411
410,20.0,0.0008996,421
420,20.0,0.000913538,431
430,20.0,0.000930246,441
440,20.0,0.000943669,451
450,20.0,0.000957287,461
460,20.0,0.000970125,471
470,20.0,0.000982795,481
480,20.0,0.000998781,491
490,20.0,0.001011961,501
500,20.0,0.001025439,511
510,20.0,0.001038519,521
520,20.0,0.001051699,531
530,20.0,0.001065194,541
540,20.0,0.001078726,551
550,20.0,0.001092031,561
560,20.0,0.001105397,571
570,20.0,0.001118851,581
580,20.0,0.001153618,591
590,20.0,0.001167168,601
600,20.0,0.001182846,611
610,20.0,0.001201864,621
620,21.0,0.001222218,631
630,24.0,0.001242312,641
640,24.0,0.001263605,651
650,24.0,0.001317948,661
660,24.0,0.001332011,671
670,25.0,0.001346141,681
680,25.0,0.001359932,691
690,25.0,0.001379558,701
700,25.0,0.001393794,711
710,25.0,0.001408009,721
720,25.0,0.001422619,731
730,25.0,0.001437178,741
740,25.0,0.001453783,751
750,25.0,0.001468174,761
760,25.0,0.001484335,771
770,25.0,0.001506063,781
780,25.0,0.00152004,791
790,25.0,0.001534128,801
800,25.0,0.001580007,811
810,25.0,0.001593895,821
820,25.0,0.001607771,831
830,25.0,0.001621673,841
840,25.0,0.001635006,851
850,25.0,0.00164877,861
860,25.0,0.001669692,871
870,25.0,0.001695837,881
880,25.0,0.001710271,891
890,25.0,0.001731367,901
900,25.0,0.00176014,911
910,25.0,0.001781159,921
920,25.0,0.00179483,931
930,25.0,0.001811149,941
940,25.0,0.001824821,951
950,26.0,0.001838857,961
960,26.0,0.001854971,971
970,26.0,0.001880476,981
980,26.0,0.001909154,991
990,26.0,0.001937038,1001
1000,26.0,0.001963448,1011
1010,26.0,0.00199127,1021
1020,26.0,0.002019128,1031
1030,26.0,0.002047688,1041
1040,26.0,0.002074681,1051
1050,26.0,0.002125121,1061
1060,26.0,0.002139843,1071
1070,26.0,0.002154538,1081
1080,26.0,0.002168379,1091
1090,26.0,0.002182125,1101
1100,26.0,0.002198483,1111
1110,26.0,0.002212647,1121
1120,26.0,0.002226575,1131
1130,26.0,0.002240081,1141
