iterations,fitness,time,fevals
0,16.0,1.24769999998e-05,11
10,14.0,2.11050000001e-05,21
20,15.0,2.86819999999e-05,31
30,15.0,3.5698e-05,41
40,16.0,4.4065e-05,51
50,15.0,5.16460000002e-05,61
60,15.0,6.0806e-05,71
70,12.0,7.17099999998e-05,81
80,13.0,8.00989999998e-05,91
90,12.0,8.83579999997e-05,101
100,15.0,9.60889999999e-05,111
110,14.0,0.000103466,121
120,12.0,0.000110574,131
130,11.0,0.000117499,141
140,13.0,0.000124464,151
150,15.0,0.000131532,161
160,13.0,0.000141805,171
170,13.0,0.000152872,181
180,14.0,0.000164234,191
190,14.0,0.000175151,201
200,12.0,0.000186161,211
210,12.0,0.000196189,221
220,12.0,0.000206638,231
230,11.0,0.000217313,241
240,12.0,0.000228168,251
250,12.0,0.000238292,261
260,13.0,0.000248742,271
270,16.0,0.000259651,281
280,13.0,0.000270613,291
290,13.0,0.000280835,301
300,14.0,0.000291907999999,311
310,12.0,0.000303289999999,321
320,12.0,0.000313609999999,331
330,13.0,0.000324453999999,341
340,16.0,0.000334962999999,351
350,17.0,0.000345667999999,361
360,14.0,0.000356203999999,371
370,14.0,0.000366509999999,381
380,15.0,0.000377314999999,391
390,14.0,0.000388094999999,401
400,16.0,0.000397847,411
410,14.0,0.000408432,421
420,13.0,0.000417923,431
430,16.0,0.000432336,441
440,16.0,0.000445428,451
450,16.0,0.000457103,461
460,16.0,0.000467592,471
470,16.0,0.000474883,481
480,17.0,0.000482874,491
490,17.0,0.000490535,501
500,18.0,0.00049886,511
510,18.0,0.00050659,521
520,19.0,0.00051658,531
530,19.0,0.000524345,541
540,19.0,0.000533814,551
550,19.0,0.000543205,561
560,20.0,0.000554101,571
570,20.0,0.000563434,581
580,20.0,0.000572251,591
590,20.0,0.000580712000001,601
600,20.0,0.000591336,611
610,20.0,0.000603684,621
620,20.0,0.000613506,631
630,20.0,0.000621309,641
640,20.0,0.000630049,651
650,20.0,0.000638541,661
660,20.0,0.000646275,671
670,20.0,0.000654473,681
680,21.0,0.00066771,691
690,21.0,0.000674887,701
700,21.0,0.000683982,711
710,21.0,0.000692692,721
720,21.0,0.00070755,731
730,22.0,0.000717862,741
740,22.0,0.000728397,751
750,22.0,0.000741479,761
760,22.0,0.00075267,771
770,22.0,0.000764754,781
780,22.0,0.000772969,791
790,22.0,0.000783473,801
800,23.0,0.000793932,811
810,24.0,0.000801429,821
820,24.0,0.000811088,831
830,25.0,0.000820775,841
840,25.0,0.000828753,851
850,25.0,0.000837575,861
860,25.0,0.000847066,871
870,25.0,0.000855753,881
880,31.0,0.000864179,891
890,31.0,0.000873057,901
900,31.0,0.000881847,911
910,31.0,0.000890531,921
920,31.0,0.000898529,931
930,32.0,0.000906997,941
940,35.0,0.00091563,951
950,35.0,0.000924175,961
960,35.0,0.000931753,971
970,35.0,0.000939182,981
980,35.0,0.000946318,991
990,35.0,0.000954458,1001
1000,35.0,0.000962332999999,1011
1010,35.0,0.000971088,1021
1020,35.0,0.000978829,1031
1030,35.0,0.000986899,1041
1040,35.0,0.000995375,1051
1050,35.0,0.001003293,1061
1060,35.0,0.001010953,1071
1070,35.0,0.001017798,1081
1080,35.0,0.00102574,1091
1090,35.0,0.001034291,1101
1100,35.0,0.001041326,1111
1110,35.0,0.001048554,1121
1120,35.0,0.001055732,1131
1130,35.0,0.001063776,1141
1140,35.0,0.001070247,1151
1150,35.0,0.001077978,1161
1160,35.0,0.001086919,1171
1170,35.0,0.00109607,1181
1180,35.0,0.001103785,1191
1190,35.0,0.001111143,1201
1200,35.0,0.001117919,1211
1210,35.0,0.001126116,1221
1220,35.0,0.001132727,1231
1230,35.0,0.001147054,1241
1240,35.0,0.001156229,1251
1250,35.0,0.001164711,1261
1260,35.0,0.001172776,1271
1270,35.0,0.001181821,1281
1280,35.0,0.001190148,1291
1290,35.0,0.001198788,1301
1300,35.0,0.001207055,1311
1310,35.0,0.00121433,1321
1320,35.0,0.001224797,1331
1330,35.0,0.001232674,1341
1340,35.0,0.001240322,1351
1350,35.0,0.001248462,1361
1360,36.0,0.001259097,1371
1370,36.0,0.001270828,1381
1380,36.0,0.001280349,1391
1390,37.0,0.001288809,1401
1400,37.0,0.001296254,1411
1410,38.0,0.00130793,1421
1420,38.0,0.001324272,1431
1430,38.0,0.001336582,1441
1440,38.0,0.001346749,1451
1450,38.0,0.001356173,1461
1460,38.0,0.001364349,1471
1470,38.0,0.001375003,1481
1480,39.0,0.001383985,1491
1490,39.0,0.001392594,1501
1500,40.0,0.001400468,1511
1510,40.0,0.001408275,1521
1520,40.0,0.001417827,1531
1530,40.0,0.001426808,1541
1540,40.0,0.001434303,1551
1550,40.0,0.001445217,1561
1560,40.0,0.001453293,1571
1570,40.0,0.001461167,1581
1580,40.0,0.001469576,1591
1590,40.0,0.001476285,1601
1600,40.0,0.00148474,1611
1610,40.0,0.001492873,1621
1620,40.0,0.001502376,1631
1630,40.0,0.001509251,1641
1640,40.0,0.001516419,1651
1650,41.0,0.001523963,1661
1660,41.0,0.001531878,1671
1670,41.0,0.001539701,1681
1680,41.0,0.001548261,1691
1690,41.0,0.001556584,1701
1700,41.0,0.001564929,1711
1710,41.0,0.001571992,1721
1720,41.0,0.001581408,1731
1730,41.0,0.001588569,1741
1740,41.0,0.001596568,1751
1750,42.0,0.001603195,1761
1760,42.0,0.001609994,1771
1770,42.0,0.001621381,1781
1780,43.0,0.001628013,1791
1790,43.0,0.00163601,1801
1800,43.0,0.001644233,1811
1810,43.0,0.001653541,1821
1820,43.0,0.001661585,1831
1830,43.0,0.001669911,1841
1840,43.0,0.001678938,1851
1850,43.0,0.001686326,1861
1860,44.0,0.001693634,1871
1870,44.0,0.001702024,1881
1880,44.0,0.001710064,1891
1890,44.0,0.001718272,1901
1900,44.0,0.001725726,1911
1910,45.0,0.001734679,1921
1920,45.0,0.001742777,1931
1930,50.0,0.001749835,1941
1940,50.0,0.00175763,1951
1950,50.0,0.001765992,1961
1960,50.0,0.00177515,1971
1970,50.0,0.001783964,1981
1980,50.0,0.001792266,1991
1990,50.0,0.001803877,2001
2000,50.0,0.001816035,2011
2010,51.0,0.001824276,2021
2020,51.0,0.001832693,2031
2030,51.0,0.001839421,2041
2040,52.0,0.001847069,2051
2050,52.0,0.001854507,2061
2060,52.0,0.001861515,2071
2070,52.0,0.00187132,2081
2080,52.0,0.001880411,2091
2090,52.0,0.001888159,2101
2100,52.0,0.001899386,2111
2110,52.0,0.001909574,2121
2120,52.0,0.001919875,2131
2130,52.0,0.001933308,2141
2140,52.0,0.001941406,2151
2150,52.0,0.001950958,2161
2160,52.0,0.001959955,2171
2170,52.0,0.001967671,2181
2180,52.0,0.001978007,2191
2190,52.0,0.001986199,2201
2200,52.0,0.002000201,2211
2210,52.0,0.002012169,2221
2220,52.0,0.002023534,2231
2230,52.0,0.002033253,2241
2240,52.0,0.002041736,2251
2250,52.0,0.002050963,2261
2260,52.0,0.002059594,2271
2270,53.0,0.002067392,2281
2280,55.0,0.002074772,2291
2290,55.0,0.002083082,2301
2300,55.0,0.00209433,2311
2310,55.0,0.002102326,2321
2320,55.0,0.002110713,2331
2330,55.0,0.002118242,2341
2340,55.0,0.002126818,2351
2350,55.0,0.002134846,2361
2360,55.0,0.002142507,2371
2370,55.0,0.002150365,2381
2380,57.0,0.002159071,2391
2390,57.0,0.002168485,2401
2400,57.0,0.002177302,2411
2410,57.0,0.002185722,2421
2420,57.0,0.002194681,2431
2430,57.0,0.002202852,2441
2440,57.0,0.00221023,2451
2450,57.0,0.002217205,2461
2460,57.0,0.00222513,2471
2470,57.0,0.002232474,2481
2480,57.0,0.002240715,2491
2490,57.0,0.00224828,2501
2500,57.0,0.002256427,2511
2510,57.0,0.002265356,2521
2520,57.0,0.002273412,2531
2530,57.0,0.002281766,2541
2540,57.0,0.002289757,2551
2550,57.0,0.002297621,2561
2560,57.0,0.002304882,2571
2570,57.0,0.00231315,2581
2580,57.0,0.002321999,2591
2590,57.0,0.002330016,2601
2600,57.0,0.002338062,2611
2610,57.0,0.002346629,2621
2620,57.0,0.002354133,2631
2630,57.0,0.002361303,2641
2640,58.0,0.002371156,2651
2650,60.0,0.00237942,2661
2660,61.0,0.002388131,2671
2670,61.0,0.002396082,2681
2680,62.0,0.002403458,2691
2690,63.0,0.002411585,2701
2700,63.0,0.002421018,2711
2710,63.0,0.002429307,2721
2720,63.0,0.002437227,2731
2730,63.0,0.002444879,2741
2740,63.0,0.002452563,2751
2750,63.0,0.002460955,2761
2760,63.0,0.002469687,2771
2770,63.0,0.002477553,2781
2780,63.0,0.002485843,2791
2790,63.0,0.002498045,2801
2800,63.0,0.002505421,2811
2810,63.0,0.00251444,2821
2820,63.0,0.002522913,2831
2830,63.0,0.002530751,2841
2840,63.0,0.002538504,2851
2850,63.0,0.002550804,2861
2860,63.0,0.002564101,2871
2870,63.0,0.002575201,2881
2880,63.0,0.002587685,2891
2890,64.0,0.002601418,2901
2900,64.0,0.002609736,2911
2910,65.0,0.002619381,2921
2920,66.0,0.002626693,2931
2930,66.0,0.002635553,2941
2940,66.0,0.002644322,2951
2950,67.0,0.002652839,2961
2960,67.0,0.002660867,2971
2970,67.0,0.002668836,2981
2980,68.0,0.002677158,2991
2990,69.0,0.002685594,3001
3000,69.0,0.002693516,3011
3010,69.0,0.002700923,3021
3020,70.0,0.002708444,3031
3030,70.0,0.002716415,3041
3040,70.0,0.002724003,3051
3050,70.0,0.002732528,3061
3060,70.0,0.002740591,3071
3070,70.0,0.002748327,3081
3080,71.0,0.002758998,3091
3090,71.0,0.002769462,3101
3100,71.0,0.002780108,3111
3110,71.0,0.002791822,3121
3120,72.0,0.002803541,3131
3130,72.0,0.002815398,3141
3140,72.0,0.002826751,3151
3150,72.0,0.002838793,3161
3160,72.0,0.002850228,3171
3170,72.0,0.002863231,3181
3180,77.0,0.002874505,3191
3190,77.0,0.002887516,3201
3200,77.0,0.002902689,3211
3210,77.0,0.002919022,3221
3220,77.0,0.002931178,3231
3230,77.0,0.002944634,3241
3240,77.0,0.002956423,3251
3250,78.0,0.002967441,3261
3260,78.0,0.002979703,3271
3270,78.0,0.002991199,3281
3280,78.0,0.00300245,3291
3290,78.0,0.003013606,3301
3300,80.0,0.003024098,3311
3310,80.0,0.003035023,3321
3320,80.0,0.003047198,3331
3330,80.0,0.003057456,3341
3340,80.0,0.003068262,3351
3350,80.0,0.00307848,3361
3360,80.0,0.003088967,3371
3370,81.0,0.003099075,3381
3380,81.0,0.003109872,3391
3390,81.0,0.003119704,3401
3400,81.0,0.00313132,3411
3410,81.0,0.003143024,3421
3420,81.0,0.003154788,3431
3430,81.0,0.003166418,3441
3440,81.0,0.003177942,3451
3450,81.0,0.003189411,3461
3460,81.0,0.003200816,3471
3470,81.0,0.003212023,3481
3480,81.0,0.003223223,3491
3490,81.0,0.003233087,3501
3500,81.0,0.003245177,3511
3510,81.0,0.003256213,3521
3520,81.0,0.003267526,3531
3530,81.0,0.003277926,3541
3540,81.0,0.00329029,3551
3550,82.0,0.003302262,3561
3560,82.0,0.003312319,3571
3570,82.0,0.003321199,3581
