iterations,fitness,time,fevals
0,19.0,0.000780709999999,461
10,19.0,0.00164096,829
20,19.0,0.002381993,1198
30,19.0,0.002976066,1572
40,20.0,0.003423679,1927
50,20.0,0.00398736399999,2299
60,20.0,0.00454430899999,2669
70,20.0,0.00496174399999,3038
80,20.0,0.00565039299999,3402
90,20.0,0.00608508999999,3768
100,21.0,0.00683178999999,4144
110,24.0,0.00744396199999,4510
120,25.0,0.00802819399999,4879
130,21.0,0.00862859099999,5248
140,24.0,0.00934706899999,5623
150,24.0,0.00985531199999,5989
160,24.0,0.01080081,6360
170,24.0,0.011246359,6722
180,25.0,0.011805284,7088
190,24.0,0.012319525,7462
200,26.0,0.012876097,7828
210,26.0,0.013435048,8194
220,26.0,0.014011543,8561
230,27.0,0.014574818,8926
240,27.0,0.015155864,9288
250,27.0,0.01592541,9660
260,27.0,0.017007231,10030
270,29.0,0.018611084,10400
280,28.0,0.020036102,10772
290,28.0,0.020640167,11138
300,29.0,0.021156826,11501
310,29.0,0.021567973,11871
320,28.0,0.021988364,12240
330,29.0,0.022399161,12604
340,30.0,0.022928584,12969
350,30.0,0.02346823,13331
360,31.0,0.023921027,13692
370,31.0,0.024500031,14063
380,31.0,0.025089387,14432
390,31.0,0.025552649,14800
400,31.0,0.026063267,15170
410,31.0,0.026549104,15540
420,31.0,0.027108353,15910
430,30.0,0.028938654,16269
440,31.0,0.030679066,16635
450,31.0,0.031770482,16994
460,31.0,0.032368648,17371
470,33.0,0.03302731,17739
480,31.0,0.033594899,18107
490,32.0,0.034168837,18472
500,33.0,0.034882225,18838
510,32.0,0.03541868,19190
520,33.0,0.035847503,19558
530,34.0,0.03626831,19918
540,32.0,0.036691608,20290
550,32.0,0.037278645,20668
560,33.0,0.037811968,21036
570,33.0,0.038362839,21403
580,33.0,0.03893704,21771
590,33.0,0.039521006,22136
600,33.0,0.040057952,22493
610,33.0,0.040589652,22853
620,33.0,0.041170164,23229
630,33.0,0.04172301,23592
640,33.0,0.042281929,23955
650,35.0,0.042899472,24322
660,34.0,0.043490392,24691
670,33.0,0.044058832,25058
680,33.0,0.04460983,25421
690,33.0,0.045164656,25785
700,33.0,0.045681092,26146
710,33.0,0.046172125,26514
720,34.0,0.046666963,26881
730,34.0,0.047166462,27251
740,34.0,0.047657858,27614
750,35.0,0.048154422,27974
760,35.0,0.04875108,28342
770,35.0,0.049340532,28706
780,36.0,0.049940381,29077
790,36.0,0.050571139,29445
800,34.0,0.051159061,29810
810,34.0,0.051708867,30179
820,34.0,0.052262487,30542
830,35.0,0.052784953,30907
840,34.0,0.053297818,31278
850,34.0,0.053820903,31648
860,34.0,0.05436449,32014
870,34.0,0.054948912,32374
880,34.0,0.055548827,32743
890,35.0,0.056232918,33111
900,36.0,0.056782267,33472
910,35.0,0.057338069,33842
920,36.0,0.057903041,34208
930,36.0,0.058452956,34567
940,38.0,0.058991126,34932
950,36.0,0.059636912,35306
960,36.0,0.060256988,35675
970,36.0,0.060838654,36040
980,37.0,0.061426354,36406
990,37.0,0.061970982,36778
1000,39.0,0.062516621,37146
1010,39.0,0.063067481,37515
1020,39.0,0.063628223,37875
1030,40.0,0.064151442,38238
1040,37.0,0.064633256,38613
1050,37.0,0.065120291,38976
1060,38.0,0.065612636,39338
1070,38.0,0.066045714,39704
1080,38.0,0.066446433,40072
1090,38.0,0.066963461,40445
1100,40.0,0.067403356,40809
1110,40.0,0.067936214,41178
1120,40.0,0.068391582,41540
1130,40.0,0.068769337,41904
1140,45.0,0.069162454,42271
1150,45.0,0.069683919,42639
1160,45.0,0.070228885,43010
1170,45.0,0.070781353,43379
1180,46.0,0.071302875,43745
1190,46.0,0.071854778,44108
1200,46.0,0.072338698,44479
1210,45.0,0.072811642,44840
1220,45.0,0.07328271,45209
1230,46.0,0.073751053,45572
1240,46.0,0.074265059,45936
1250,46.0,0.074797401,46305
1260,46.0,0.075370621,46669
