iterations,fitness,time,fevals
0,20.0,0.137038619,1000
10,34.0,0.264023061,2100
20,39.0,0.377623771,3200
30,42.0,0.478984235,4300
40,41.0,0.588394378,5400
50,44.0,0.700185065,6500
60,44.0,0.807119647,7600
70,44.0,0.908615004,8700
80,45.0,1.015794381,9800
90,46.0,1.107945125,10900
100,45.0,1.216452998,12000
110,45.0,1.310382273,13100
120,45.0,1.397041578,14200
130,44.0,1.490983695,15300
140,47.0,1.587428767,16400
150,46.0,1.686966393,17500
160,47.0,1.786966917,18600
170,48.0,1.893708502,19700
180,47.0,2.007557379,20800
190,49.0,2.118518807,21900
200,50.0,2.216072144,23000
210,50.0,2.31845932,24100
220,52.0,2.415720893,25200
230,53.0,2.515368605,26300
240,53.0,2.615098888,27400
250,51.0,2.710681228,28500
260,52.0,2.813561877,29600
270,52.0,2.90762728,30700
280,50.0,2.999967095,31800
290,51.0,3.097014234,32900
300,52.0,3.186080106,34000
310,52.0,3.277511364,35100
320,52.0,3.362820586,36200
330,51.0,3.447305115,37300
340,52.0,3.544668834,38400
350,52.0,3.634548619,39500
360,52.0,3.729406438,40600
370,52.0,3.82249566,41700
380,52.0,3.910647639,42800
390,51.0,4.002315164,43900
400,52.0,4.094029837,45000
410,52.0,4.201025016,46100
420,51.0,4.308546519,47200
430,51.0,4.412713214,48300
440,52.0,4.506201446,49400
450,52.0,4.598820429,50500
460,52.0,4.704355113,51600
470,52.0,4.797509414,52700
480,54.0,4.885061367,53800
490,53.0,4.986738302,54900
500,57.0,5.088097049,56000
510,53.0,5.206356551,57100
520,57.0,5.30699555,58200
530,55.0,5.397927463,59300
540,52.0,5.498727301,60400
550,53.0,5.59362061,61500
560,53.0,5.692554649,62600
570,53.0,5.777787378,63700
580,52.0,5.870565925,64800
590,53.0,5.958066826,65900
600,53.0,6.055600681,67000
610,52.0,6.152579733,68100
620,52.0,6.237940011,69200
630,53.0,6.325215195,70300
640,52.0,6.416757445,71400
650,52.0,6.499894309,72500
660,53.0,6.58371567,73600
