iterations,fitness,time,fevals
0,14.0,1.68030000001e-05,11
10,15.0,6.28830000001e-05,21
20,15.0,7.73550000001e-05,31
30,15.0,9.9191e-05,41
40,15.0,0.000121124,51
50,15.0,0.000141319,61
60,15.0,0.000167834,71
70,15.0,0.000189893,81
80,15.0,0.000209593,91
90,15.0,0.000235027,101
100,16.0,0.000257154,111
110,16.0,0.000288434,121
120,16.0,0.000312419,131
130,16.0,0.000397815,141
140,16.0,0.00045133,151
150,16.0,0.000481337,161
160,16.0,0.000504281,171
170,16.0,0.000523609,181
180,16.0,0.000543755,191
190,16.0,0.000564081,201
200,16.0,0.000620349,211
210,16.0,0.000649041,221
220,16.0,0.000677036,231
230,16.0,0.00070329,241
240,16.0,0.000726608,251
250,16.0,0.000751392,261
260,16.0,0.000847897,271
270,16.0,0.000874384,281
280,16.0,0.000962575,291
290,16.0,0.001022777,301
300,16.0,0.001067399,311
310,16.0,0.001124922,321
320,16.0,0.001147349,331
330,16.0,0.001707126,341
340,16.0,0.001728981,351
350,16.0,0.001800301,361
360,16.0,0.001822792,371
370,16.0,0.001847392,381
380,16.0,0.001879438,391
390,16.0,0.001917471,401
400,16.0,0.001944865,411
410,16.0,0.001983854,421
420,16.0,0.002004366,431
430,16.0,0.00202392,441
440,17.0,0.002043989,451
450,17.0,0.002066011,461
460,17.0,0.002088258,471
470,17.0,0.002108553,481
480,20.0,0.002126742,491
490,21.0,0.002168088,501
500,21.0,0.002285517,511
510,21.0,0.002376037,521
520,22.0,0.002463009,531
530,22.0,0.002513487,541
540,23.0,0.002583012,551
550,23.0,0.002694361,561
560,23.0,0.002741925,571
570,23.0,0.002797848,581
580,23.0,0.002822928,591
590,23.0,0.002938709,601
600,23.0,0.003105799,611
610,23.0,0.003131537,621
620,25.0,0.00315169,631
630,25.0,0.003170481,641
640,25.0,0.003191492,651
650,25.0,0.003210558,661
660,25.0,0.003225153,671
670,25.0,0.003240461,681
680,27.0,0.003280797,691
690,27.0,0.003310908,701
700,27.0,0.003330043,711
710,27.0,0.003523802,721
720,27.0,0.003585877,731
730,28.0,0.003607959,741
740,28.0,0.004467738,751
750,28.0,0.004488649,761
760,28.0,0.004501785,771
770,28.0,0.00451708,781
780,28.0,0.004544135,791
790,28.0,0.004561881,801
800,28.0,0.004575012,811
810,28.0,0.004588209,821
820,28.0,0.004602064,831
830,28.0,0.004651902,841
840,28.0,0.004664336,851
850,28.0,0.004677365,861
860,28.0,0.004692808,871
870,28.0,0.004767265,881
880,28.0,0.004861147,891
890,29.0,0.004896773,901
900,47.0,0.005610752,911
910,47.0,0.005787925,921
920,49.0,0.005962891,931
930,49.0,0.006183113,941
940,49.0,0.006256974,951
950,49.0,0.006327822,961
960,49.0,0.006393743,971
970,49.0,0.00648423,981
980,50.0,0.006547253,991
990,51.0,0.006613757,1001
1000,51.0,0.006678424,1011
1010,53.0,0.006741396,1021
1020,53.0,0.006802464,1031
1030,54.0,0.006869757,1041
1040,55.0,0.006951697,1051
1050,55.0,0.007013045,1061
1060,55.0,0.007081161,1071
1070,57.0,0.007138461,1081
1080,57.0,0.007208704,1091
1090,57.0,0.007278535,1101
1100,57.0,0.007373304,1111
1110,57.0,0.007433158,1121
1120,58.0,0.007494913,1131
1130,58.0,0.007612314,1141
1140,58.0,0.007721937,1151
1150,58.0,0.00781909,1161
1160,58.0,0.007886354,1171
1170,58.0,0.007951803,1181
1180,58.0,0.008017296,1191
1190,58.0,0.008090251,1201
1200,58.0,0.008160417,1211
1210,58.0,0.008271811,1221
1220,58.0,0.008389984,1231
1230,58.0,0.008466608,1241
1240,58.0,0.008523636,1251
1250,58.0,0.008725001,1261
