iterations,fitness,time,fevals
0,15.0,2.52479999998e-05,11
10,14.0,0.000149024,21
20,13.0,0.00031717,31
30,13.0,0.000341098,41
40,15.0,0.000356204,51
50,15.0,0.00036985,61
60,15.0,0.000384434,71
70,15.0,0.000399323,81
80,15.0,0.000414221,91
90,16.0,0.000427723,101
100,16.0,0.000441065,111
110,16.0,0.000453752,121
120,17.0,0.0004673,131
130,18.0,0.000481808,141
140,18.0,0.000495194,151
150,18.0,0.00050861,161
160,18.0,0.000519993,171
170,18.0,0.000538548,181
180,21.0,0.000551767,191
190,21.0,0.000565825,201
200,21.0,0.000579339,211
210,21.0,0.00059318,221
220,21.0,0.000607917,231
230,21.0,0.000620703,241
240,21.0,0.000634358,251
250,21.0,0.000647083,261
260,21.0,0.000659928,271
270,21.0,0.000673154,281
280,22.0,0.000684611999999,291
290,22.0,0.000699483999999,301
300,22.0,0.000713834999999,311
310,22.0,0.000726518999999,321
320,22.0,0.000740309,331
330,25.0,0.000756345,341
340,25.0,0.000770582,351
350,25.0,0.000784333,361
360,27.0,0.000804785,371
370,28.0,0.000839434,381
380,28.0,0.000870568,391
390,28.0,0.000904197,401
400,28.0,0.000937693,411
410,28.0,0.000993703,421
420,29.0,0.001013569,431
430,29.0,0.001080303,441
440,30.0,0.001097984,451
450,30.0,0.001115004,461
460,30.0,0.001129294,471
470,30.0,0.001143064,481
480,30.0,0.001156256,491
490,30.0,0.001392833,501
500,30.0,0.001436155,511
510,32.0,0.00145475,521
520,35.0,0.001478312,531
530,36.0,0.001491344,541
540,37.0,0.001511918,551
550,37.0,0.001536176,561
560,40.0,0.001558267,571
570,40.0,0.001576452,581
580,40.0,0.001600989,591
590,40.0,0.001631935,601
600,43.0,0.001652147,611
610,44.0,0.001695225,621
620,44.0,0.001713621,631
630,44.0,0.001738949,641
640,44.0,0.001753819,651
650,44.0,0.001764394,661
660,44.0,0.001773876,671
670,44.0,0.001784041,681
680,45.0,0.001793571,691
690,45.0,0.001806505,701
700,45.0,0.001821389,711
710,45.0,0.001837371,721
720,45.0,0.001852745,731
730,45.0,0.001866679,741
740,46.0,0.001880862,751
750,46.0,0.001893702,761
760,46.0,0.001906147,771
770,46.0,0.001923189,781
780,46.0,0.001935744,791
790,47.0,0.001964811,801
800,47.0,0.002006755,811
810,48.0,0.00204043,821
820,48.0,0.002077779,831
830,48.0,0.002138971,841
840,48.0,0.002168072,851
850,48.0,0.00219655,861
860,48.0,0.002226685,871
870,48.0,0.002256462,881
880,49.0,0.002280606,891
890,54.0,0.002304433,901
900,54.0,0.002374033,911
910,54.0,0.002389209,921
920,54.0,0.00240306,931
930,54.0,0.002415462,941
940,55.0,0.002431607,951
950,55.0,0.002447114,961
960,55.0,0.002458301,971
970,57.0,0.002467824,981
980,57.0,0.002483451,991
990,57.0,0.002495782,1001
1000,57.0,0.002508488,1011
1010,57.0,0.002522049,1021
1020,57.0,0.002531446,1031
1030,57.0,0.002541586,1041
1040,57.0,0.002555849,1051
1050,57.0,0.002568027,1061
1060,57.0,0.002582127,1071
1070,57.0,0.002594482,1081
1080,57.0,0.002606602,1091
1090,57.0,0.002620203,1101
1100,57.0,0.002637059,1111
1110,57.0,0.002653587,1121
1120,57.0,0.002667264,1131
1130,57.0,0.002681416,1141
1140,57.0,0.00269554,1151
1150,57.0,0.002709654,1161
1160,57.0,0.002723184,1171
1170,57.0,0.002736304,1181
1180,57.0,0.002750537,1191
1190,57.0,0.002763801,1201
1200,57.0,0.002783809,1211
1210,57.0,0.002821118,1221
1220,57.0,0.002858133,1231
1230,57.0,0.002887021,1241
1240,57.0,0.002928054,1251
1250,57.0,0.002953619,1261
1260,57.0,0.002979484,1271
1270,57.0,0.002997406,1281
1280,57.0,0.003015715,1291
1290,57.0,0.003033592,1301
1300,57.0,0.003053394,1311
1310,57.0,0.003069659,1321
1320,57.0,0.003105038,1331
1330,57.0,0.003145605,1341
1340,57.0,0.003180464,1351
1350,57.0,0.003214802,1361
1360,57.0,0.003251881,1371
1370,57.0,0.003285124,1381
1380,57.0,0.003316916,1391
1390,57.0,0.003348509,1401
1400,57.0,0.003376352,1411
1410,58.0,0.003394401,1421
1420,58.0,0.003408786,1431
1430,59.0,0.003426892,1441
1440,59.0,0.003442402,1451
1450,59.0,0.003457442,1461
1460,59.0,0.003476148,1471
1470,59.0,0.003498757,1481
1480,59.0,0.003538161,1491
1490,60.0,0.003555275,1501
1500,60.0,0.003572948,1511
1510,60.0,0.00358784,1521
1520,60.0,0.003603674,1531
1530,60.0,0.003620551,1541
1540,60.0,0.003634881,1551
1550,60.0,0.00365061,1561
1560,61.0,0.003665985,1571
1570,61.0,0.003683748,1581
1580,61.0,0.003695902,1591
1590,61.0,0.003710648,1601
1600,61.0,0.003727233,1611
1610,61.0,0.003743082,1621
1620,62.0,0.00375475,1631
1630,62.0,0.003770652,1641
1640,63.0,0.003783716,1651
1650,63.0,0.003803103,1661
1660,64.0,0.003815222,1671
1670,64.0,0.003828812,1681
1680,65.0,0.003847352,1691
1690,65.0,0.003861456,1701
1700,66.0,0.003874955,1711
1710,66.0,0.00388824,1721
1720,66.0,0.00390366,1731
