iterations,fitness,time,fevals
0,543.0,0.006321654,724
10,538.0,0.011796476,1352
20,552.0,0.017001938,1993
30,551.0,0.027227091,2633
40,547.0,0.032212248,3257
50,546.0,0.037411946,3887
60,547.0,0.044531649,4531
70,549.0,0.048829008,5169
80,549.0,0.053043788,5803
90,555.0,0.057003655,6441
100,551.0,0.062276297,7076
110,553.0,0.066669259,7716
120,557.0,0.070563579,8344
130,553.0,0.073600126,8976
140,559.0,0.076385405,9603
150,555.0,0.08059762,10231
160,555.0,0.088332381,10841
170,557.0,0.092012999,11483
180,561.0,0.095936006,12106
190,557.0,0.100037049,12735
200,557.0,0.105100043,13367
210,557.0,0.109759239,13993
220,555.0,0.114390724,14625
230,557.0,0.116936556,15246
240,559.0,0.119267902,15873
250,559.0,0.124457521,16508
260,563.0,0.14208016,17143
270,557.0,0.155827642,17770
280,559.0,0.171148304,18405
290,559.0,0.183197477,19022
300,565.0,0.207826017,19654
310,563.0,0.218486762,20284
320,563.0,0.228326192,20902
330,563.0,0.240589273,21527
340,561.0,0.253307908,22152
350,561.0,0.268529997,22797
360,561.0,0.285601106,23424
370,563.0,0.298726609,24054
380,563.0,0.313128264,24687
390,563.0,0.328724765,25324
400,561.0,0.340905833,25954
410,559.0,0.356577965,26585
420,559.0,0.368383069,27216
430,563.0,0.382774829,27835
440,559.0,0.396427577,28456
450,561.0,0.41303523,29093
460,563.0,0.428771555,29719
470,561.0,0.443767378,30354
480,559.0,0.457526085,30974
490,555.0,0.464753687,31606
500,557.0,0.468646062,32240
510,555.0,0.472888436,32876
520,557.0,0.477389235,33505
530,563.0,0.483724943,34141
540,559.0,0.488988689,34765
550,559.0,0.494343629,35402
560,557.0,0.497970574,36032
570,559.0,0.503176542,36665
580,567.0,0.50812288,37294
590,567.0,0.511644429,37933
600,557.0,0.515220756,38570
610,561.0,0.522930586,39204
620,565.0,0.529083959,39846
630,569.0,0.531995926,40474
640,569.0,0.537315577,41096
650,569.0,0.542099058,41732
660,565.0,0.545660184,42357
670,567.0,0.553458331,42980
680,567.0,0.556665257,43596
690,569.0,0.559567253,44227
700,573.0,0.563868453,44859
710,577.0,0.569333476,45478
720,575.0,0.572421292,46101
730,575.0,0.575821061,46736
740,575.0,0.58084431,47359
750,575.0,0.583682309,47979
760,573.0,0.587191433,48620
770,579.0,0.591511581,49252
780,575.0,0.597373942,49879
790,577.0,0.599825318,50521
800,575.0,0.602202768,51140
810,579.0,0.605316947,51772
820,573.0,0.612253183,52394
830,573.0,0.618226099,53029
840,585.0,0.621926426,53650
850,581.0,0.627138347,54294
860,573.0,0.631366689,54937
870,571.0,0.63515244,55549
880,579.0,0.640756952,56183
890,577.0,0.643926179,56814
900,567.0,0.646840486,57446
910,573.0,0.650232221,58082
