iterations,fitness,time,fevals
0,550.0,9.801259646,1000
10,582.0,19.273752848,2100
20,602.0,28.484378014,3200
30,629.0,37.174669598,4300
40,654.0,45.76000798,5400
50,662.0,54.109217591,6500
60,691.0,62.338555781,7600
70,707.0,70.29950811,8700
80,726.0,78.143812001,9800
90,723.0,86.08537561,10900
100,730.0,93.607855294,12000
110,736.0,100.933444823,13100
120,744.0,108.324051385,14200
130,739.0,115.74300919,15300
140,754.0,123.233945473,16400
150,756.0,130.707859205,17500
160,750.0,138.188301469,18600
170,750.0,145.627055115,19700
180,753.0,153.136180929,20800
190,755.0,160.493349732,21900
200,753.0,167.769605311,23000
210,746.0,175.122055661,24100
220,764.0,182.425162607,25200
230,760.0,189.726310239,26300
240,772.0,197.087609776,27400
250,772.0,204.3043107,28500
260,774.0,211.550768405,29600
270,778.0,218.922048308,30700
280,766.0,226.267622388,31800
290,784.0,233.521399282,32900
300,768.0,240.819598894,34000
310,784.0,248.053988569,35100
320,776.0,255.379027939,36200
330,778.0,262.792617521,37300
340,778.0,270.062085192,38400
350,778.0,277.332994136,39500
360,770.0,284.675705113,40600
370,772.0,292.360629201,41700
380,774.0,299.787399835,42800
390,770.0,307.038314776,43900
400,786.0,314.279521716,45000
410,780.0,321.689893112,46100
420,776.0,329.098002893,47200
430,781.0,336.25448934,48300
440,782.0,343.286053575,49400
450,786.0,350.439814853,50500
460,778.0,357.711229545,51600
470,786.0,365.322653137,52700
480,788.0,372.784923941,53800
490,790.0,379.978475655,54900
500,782.0,387.297436016,56000
510,806.0,394.47284563,57100
520,786.0,401.62966206,58200
530,796.0,408.740855696,59300
540,786.0,416.063817162,60400
550,782.0,423.306264111,61500
560,794.0,430.631582388,62600
570,798.0,437.968798699,63700
580,794.0,445.17391677,64800
590,790.0,452.337099649,65900
600,804.0,459.54655776,67000
610,794.0,466.792486027,68100
620,802.0,473.965915161,69200
630,786.0,481.180889567,70300
640,794.0,488.454991152,71400
650,800.0,495.767013688,72500
660,786.0,502.919788697,73600
670,792.0,510.088943271,74700
680,802.0,517.409180264,75800
690,788.0,524.587162398,76900
700,789.0,531.795456611,78000
710,806.0,538.989950746,79100
720,790.0,546.144693587,80200
730,798.0,553.363472745,81300
740,776.0,560.74753365,82400
750,792.0,568.408419645,83500
760,794.0,575.613841975,84600
770,798.0,583.024266525,85700
780,796.0,590.519262921,86800
790,790.0,598.1744947,87900
800,806.0,606.70474179,89000
810,804.0,615.608154256,90100
820,796.0,623.858591811,91200
830,808.0,631.460584514,92300
840,798.0,638.615922149,93400
850,812.0,645.788830332,94500
860,800.0,653.022448305,95600
870,810.0,660.130558906,96700
880,812.0,667.377144759,97800
