iterations,fitness,time,fevals
0,506.0,0.000133146,11
10,506.0,0.000230152,21
20,506.0,0.000316429,31
30,506.0,0.000483115,41
40,512.0,0.000592259,51
50,514.0,0.000711675,61
60,516.0,0.000816637,71
70,518.0,0.000851988,81
80,520.0,0.000898376,91
90,524.0,0.000938025,101
100,526.0,0.001039645,111
110,528.0,0.001116022,121
120,528.0,0.001161016,131
130,532.0,0.0012051,141
140,534.0,0.001243255,151
150,536.0,0.00128003,161
160,542.0,0.00132006,171
170,542.0,0.001359079,181
180,544.0,0.001428989,191
190,546.0,0.001466907,201
200,546.0,0.001504543,211
210,550.0,0.001538743,221
220,554.0,0.00156782,231
230,554.0,0.001608413,241
240,556.0,0.001651797,251
250,556.0,0.001705318,261
260,558.0,0.001748177,271
270,560.0,0.001783229,281
280,562.0,0.001832529,291
290,564.0,0.001886231,301
300,566.0,0.001931025,311
310,570.0,0.001971709,321
320,572.0,0.002010422,331
330,576.0,0.002052902,341
340,578.0,0.002121012,351
350,580.0,0.00227778,361
360,582.0,0.002403944,371
370,584.0,0.00245208,381
380,588.0,0.002499318,391
390,588.0,0.002538591,401
400,592.0,0.002576191,411
410,594.0,0.002611282,421
420,596.0,0.002646662,431
430,598.0,0.002681918,441
440,598.0,0.002715228,451
450,598.0,0.002747223,461
460,600.0,0.00277955,471
470,602.0,0.002824985,481
480,602.0,0.002859198,491
490,604.0,0.002895136,501
500,604.0,0.002930292,511
510,606.0,0.003040673,521
520,606.0,0.003088103,531
530,606.0,0.003129719,541
540,608.0,0.003167346,551
550,612.0,0.00320794,561
560,614.0,0.003243251,571
570,614.0,0.003320982,581
580,614.0,0.00335923,591
590,618.0,0.00339511,601
600,620.0,0.003434315,611
610,622.0,0.003473519,621
620,624.0,0.003511915,631
630,628.0,0.00354673,641
640,630.0,0.003581251,651
650,632.0,0.003616303,661
660,632.0,0.003649672,671
670,636.0,0.003801458,681
680,636.0,0.004156253,691
690,640.0,0.004294463,701
700,644.0,0.006981177,711
710,646.0,0.007052132,721
720,648.0,0.007320982,731
730,650.0,0.007629833,741
740,650.0,0.00773233,751
750,650.0,0.007765594,761
760,650.0,0.007798091,771
770,652.0,0.007827231,781
780,652.0,0.007859994,791
790,654.0,0.007889802,801
800,658.0,0.007998133,811
810,662.0,0.008171443,821
820,664.0,0.008220579,831
830,664.0,0.008415745,841
840,664.0,0.008451176,851
850,664.0,0.00848521,861
860,666.0,0.008512932,871
870,668.0,0.008538909,881
880,670.0,0.008563713,891
890,672.0,0.00859089,901
900,672.0,0.008614136,911
910,672.0,0.008642652,921
920,672.0,0.008779349,931
930,676.0,0.008819463,941
940,676.0,0.008888196,951
950,676.0,0.009162871,961
960,676.0,0.009212973,971
970,682.0,0.00943056,981
980,682.0,0.009561329,991
990,686.0,0.009596723,1001
1000,686.0,0.009975176,1011
1010,686.0,0.01001653,1021
1020,686.0,0.010051262,1031
1030,690.0,0.010139575,1041
1040,692.0,0.010172986,1051
1050,692.0,0.01020092,1061
1060,694.0,0.010228304,1071
1070,694.0,0.010257325,1081
1080,694.0,0.010286645,1091
1090,694.0,0.010316567,1101
1100,694.0,0.010347716,1111
1110,694.0,0.010376054,1121
1120,696.0,0.010403557,1131
1130,698.0,0.010478481,1141
1140,698.0,0.010634596,1151
1150,698.0,0.010714333,1161
1160,698.0,0.010853926,1171
1170,698.0,0.010986694,1181
1180,698.0,0.011036041,1191
1190,698.0,0.011073887,1201
1200,700.0,0.011104922,1211
1210,700.0,0.011152175,1221
1220,700.0,0.011190983,1231
1230,700.0,0.011226738,1241
1240,700.0,0.011255136,1251
1250,700.0,0.011285233,1261
1260,700.0,0.011315346,1271
1270,702.0,0.011369262,1281
1280,704.0,0.011416756,1291
1290,706.0,0.011558401,1301
1300,706.0,0.011632297,1311
1310,706.0,0.011704819,1321
1320,706.0,0.011741233,1331
1330,706.0,0.011776511,1341
1340,706.0,0.011812299,1351
1350,706.0,0.011846136,1361
1360,706.0,0.011876384,1371
1370,708.0,0.011907068,1381
1380,708.0,0.011937751,1391
1390,708.0,0.011965947,1401
1400,712.0,0.012001121,1411
1410,714.0,0.012032804,1421
1420,714.0,0.012065019,1431
1430,716.0,0.012097041,1441
1440,716.0,0.012130629,1451
1450,716.0,0.01216503,1461
