iterations,fitness,time,fevals
0,477.0,3.67530000007e-05,11
10,473.0,6.46870000001e-05,21
20,475.0,9.17849999995e-05,31
30,471.0,0.000119220999999,41
40,471.0,0.000145718,51
50,469.0,0.000171258,61
60,467.0,0.000197689,71
70,469.0,0.000222932000001,81
80,471.0,0.00024763,91
90,473.0,0.000274001,101
100,475.0,0.000302132000001,111
110,475.0,0.000327953000001,121
120,477.0,0.000354872000001,131
130,479.0,0.000409934,141
140,483.0,0.000435582,151
150,485.0,0.000462042,161
160,485.0,0.000489404,171
170,489.0,0.000531494,181
180,491.0,0.000566270999999,191
190,497.0,0.000597844999999,201
200,497.0,0.000629563999999,211
210,505.0,0.000658045999998,221
220,509.0,0.000686249999998,231
230,513.0,0.000713312999999,241
240,519.0,0.000741563999999,251
250,519.0,0.000787795999999,261
260,525.0,0.000829750999999,271
270,525.0,0.001033589,281
280,527.0,0.001078773,291
290,527.0,0.001213647,301
300,527.0,0.001259359,311
310,527.0,0.001298587,321
320,533.0,0.00139193,331
330,533.0,0.001431561,341
340,537.0,0.00185188,351
350,539.0,0.002661864,361
360,541.0,0.003060542,371
370,543.0,0.003134146,381
380,545.0,0.003311003,391
390,545.0,0.003706571,401
400,545.0,0.003746636,411
410,545.0,0.003777223,421
420,547.0,0.003815554,431
430,551.0,0.003858261,441
440,553.0,0.00525182,451
450,555.0,0.005537963,461
460,557.0,0.005605726,471
470,561.0,0.0057811,481
480,563.0,0.005809217,491
490,563.0,0.005853773,501
500,563.0,0.005932815,511
510,565.0,0.005971592,521
520,565.0,0.006004279,531
530,569.0,0.00604565,541
540,573.0,0.006197044,551
550,577.0,0.006230577,561
560,579.0,0.00626356,571
570,579.0,0.006504685,581
580,581.0,0.006537427,591
590,581.0,0.00656951,601
600,583.0,0.006600817,611
610,583.0,0.006637771,621
620,585.0,0.00666643,631
630,587.0,0.006697661,641
640,589.0,0.006773144,651
650,589.0,0.006812827,661
660,589.0,0.006849039,671
670,589.0,0.006880631,681
680,593.0,0.006913506,691
690,595.0,0.006944175,701
700,601.0,0.006974269,711
710,601.0,0.007050734,721
720,605.0,0.007130403,731
730,607.0,0.00716775599999,741
740,607.0,0.00720551899999,751
750,609.0,0.00723595199999,761
760,611.0,0.007262937,771
770,611.0,0.007290438,781
780,613.0,0.007317304,791
790,615.0,0.007349046,801
800,615.0,0.00737628099999,811
810,617.0,0.00740301399999,821
820,617.0,0.00770237899999,831
830,619.0,0.00773828299999,841
840,623.0,0.00776741199999,851
850,623.0,0.00779560199999,861
860,625.0,0.00782637699999,871
870,627.0,0.00785419399999,881
880,629.0,0.00788246099999,891
890,629.0,0.00791451799999,901
900,629.0,0.00801168199999,911
910,629.0,0.00804853399999,921
920,629.0,0.00807698099999,931
930,631.0,0.00810385199999,941
940,631.0,0.00813237899999,951
950,631.0,0.00816019799999,961
960,631.0,0.00818570399999,971
970,631.0,0.00821501799999,981
980,633.0,0.00824508299999,991
990,633.0,0.00827315599999,1001
1000,633.0,0.00830218499999,1011
1010,635.0,0.00833242599999,1021
1020,638.0,0.00843329899999,1031
1030,640.0,0.00846694299999,1041
1040,642.0,0.00849888999999,1051
1050,642.0,0.00853438899999,1061
1060,642.0,0.00856133599999,1071
1070,642.0,0.00859019099999,1081
1080,642.0,0.00862827299999,1091
1090,648.0,0.00865840999999,1101
1100,650.0,0.00868702399999,1111
1110,652.0,0.00889185399999,1121
1120,652.0,0.00892339699999,1131
1130,652.0,0.00894982199999,1141
1140,652.0,0.00897825899999,1151
1150,654.0,0.00900518399999,1161
1160,656.0,0.00913615399999,1171
1170,656.0,0.00916745899999,1181
1180,656.0,0.00919916399999,1191
1190,656.0,0.00923168799999,1201
1200,658.0,0.00926276899999,1211
1210,660.0,0.00929156599999,1221
1220,660.0,0.00931936299999,1231
1230,660.0,0.00934768199999,1241
1240,660.0,0.00937615399999,1251
1250,662.0,0.00940345799999,1261
1260,662.0,0.00942775299999,1271
1270,662.0,0.00951888499999,1281
1280,664.0,0.00980162999999,1291
1290,664.0,0.010068459,1301
1300,666.0,0.010110615,1311
1310,666.0,0.010367375,1321
1320,668.0,0.010612147,1331
1330,668.0,0.010842754,1341
1340,668.0,0.011344181,1351
1350,670.0,0.011373772,1361
1360,672.0,0.011400561,1371
1370,674.0,0.011430997,1381
1380,674.0,0.011459618,1391
1390,674.0,0.011488864,1401
1400,674.0,0.011517634,1411
1410,676.0,0.011617302,1421
1420,676.0,0.012069598,1431
1430,678.0,0.012348624,1441
1440,678.0,0.012380031,1451
1450,678.0,0.012408396,1461
1460,680.0,0.012432189,1471
1470,680.0,0.012557853,1481
1480,682.0,0.012676654,1491
1490,682.0,0.012933139,1501
1500,684.0,0.013007246,1511
1510,684.0,0.013033149,1521
1520,686.0,0.013058178,1531
1530,686.0,0.01308705,1541
1540,686.0,0.013114815,1551
1550,686.0,0.013140269,1561
1560,686.0,0.013170128,1571
1570,686.0,0.013199645,1581
1580,686.0,0.013227469,1591
1590,686.0,0.01326923,1601
1600,686.0,0.013298413,1611
1610,688.0,0.013329628,1621
1620,688.0,0.01336148,1631
1630,688.0,0.01339428,1641
1640,688.0,0.013421293,1651
1650,688.0,0.013448148,1661
1660,694.0,0.013473177,1671
1670,694.0,0.013497624,1681
1680,694.0,0.013521507,1691
1690,696.0,0.013545122,1701
1700,696.0,0.013570219,1711
1710,698.0,0.013593813,1721
1720,698.0,0.013617552,1731
1730,698.0,0.013642165,1741
1740,700.0,0.013677503,1751
1750,702.0,0.013803608,1761
1760,706.0,0.013831298,1771
1770,706.0,0.013856809,1781
1780,706.0,0.013882869,1791
1790,708.0,0.013913544,1801
1800,710.0,0.013938673,1811
1810,710.0,0.013980744,1821
1820,710.0,0.014026083,1831
1830,710.0,0.014057199,1841
1840,710.0,0.014088657,1851
