problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,RHC,"[]",98.0,4040,0.013998778,4051.0
CONTPEAKS,MIMIC,"['100', '50', '0.9']",81.0,4240,36.96570942,467400.0
CONTPEAKS,SA,"['0.55']",99.0,3620,0.00908929099999,3631.0
CONTPEAKS,GA,"['100', '50', '30']",98.0,4230,0.7270138359999999,266919.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",838.0,2370,1755.02419052,261700.0
FLIPFLOP,GA,"['100', '30', '50']",607.0,590,0.561168372,34712.0
FLIPFLOP,SA,"['0.55']",782.0,3000,0.040844841,3011.0
FLIPFLOP,RHC,"[]",792.0,2960,0.039244011,2971.0
NN,SA,"['/NN', 'SA', '0.3']",0.840574903261,1910,22.423487853,0
NN,GA,"['/NN', 'GA', '50', '20', '2']",0.803427307905,1850,747.603629037,0
NN,Backprop,"['/NN', 'Backpro']",0.8441127694859999,220,5.055250453999999,0
NN,RHC,"['/NN', 'RH']",0.836594803759,1970,22.424033306,0
TSP,SA,"['0.75']",0.0504187442739,2860,0.00442417496743,2871.0
TSP,GA,"['100', '50', '50']",0.104283926716,1440,0.47260245000900003,101299.0
TSP,MIMIC,"['100', '50', '0.1']",0.0335483943698,2290,443.49699341300004,252900.0
TSP,RHC,"[]",0.050032346307899996,2980,0.00479706203987,2991.0
